Created as New Dataset,Sample 004 By Administrator Date Thursday, March 26 2020
cm-1,%T
5827.00,82.02
5826.88,82.00
5826.75,82.00
5826.63,81.96
5826.50,81.91
5826.38,81.84
5826.25,81.80
5826.13,81.81
5826.00,81.87
5825.88,81.95
5825.75,82.02
5825.63,82.06
5825.50,82.07
5825.38,82.07
5825.25,82.06
5825.13,82.05
5825.00,82.05
5824.88,82.06
5824.75,82.09
5824.63,82.10
5824.50,82.09
5824.38,82.07
5824.25,82.02
5824.13,81.98
5824.00,81.95
5823.88,81.95
5823.75,81.97
5823.63,81.97
5823.50,81.96
5823.38,81.97
5823.25,82.00
5823.13,82.04
5823.00,82.08
5822.88,82.10
5822.75,82.10
5822.63,82.07
5822.50,82.00
5822.38,81.89
5822.25,81.73
5822.13,81.58
5822.00,81.49
5821.88,81.49
5821.75,81.55
5821.63,81.63
5821.50,81.71
5821.38,81.80
5821.25,81.88
5821.13,81.95
5821.00,82.00
5820.88,82.04
5820.75,82.07
5820.63,82.08
5820.50,82.07
5820.38,82.04
5820.25,82.01
5820.13,82.02
5820.00,82.04
5819.88,82.05
5819.75,82.05
5819.63,82.02
5819.50,81.99
5819.38,81.99
5819.25,82.01
5819.13,82.01
5819.00,82.00
5818.88,81.98
5818.75,81.97
5818.63,81.97
5818.50,81.97
5818.38,81.95
5818.25,81.90
5818.13,81.85
5818.00,81.82
5817.88,81.82
5817.75,81.82
5817.63,81.81
5817.50,81.81
5817.38,81.85
5817.25,81.91
5817.13,81.95
5817.00,81.94
5816.88,81.82
5816.75,81.55
5816.63,81.16
5816.50,80.79
5816.38,80.59
5816.25,80.61
5816.13,80.78
5816.00,80.99
5815.88,81.17
5815.75,81.32
5815.63,81.43
5815.50,81.54
5815.38,81.65
5815.25,81.76
5815.13,81.85
5815.00,81.90
5814.88,81.93
5814.75,81.93
5814.63,81.90
5814.50,81.84
5814.38,81.76
5814.25,81.69
5814.13,81.64
5814.00,81.61
5813.88,81.62
5813.75,81.64
5813.63,81.64
5813.50,81.60
